anime_id,name,genre,type,episodes,rating,members,genre_list
28851,Koe no Katachi,"Drama, School, Shounen",Movie,1,9.05,102733,"['drama', ' school', ' shounen']"
918,Gintama,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,201,9.04,336376,"['action', ' comedy', ' historical', ' parody', ' samurai', ' sci-fi', ' shounen']"
2904,Code Geass: Hangyaku no Lelouch R2,"Action, Drama, Mecha, Military, Sci-Fi, Super Power",TV,25,8.98,572888,"['action', ' drama', ' mecha', ' military', ' sci-fi', ' super power']"
28891,Haikyuu!! Second Season,"Comedy, Drama, School, Shounen, Sports",TV,25,8.93,179342,"['comedy', ' drama', ' school', ' shounen', ' sports']"
199,Sen to Chihiro no Kamikakushi,"Adventure, Drama, Supernatural",Movie,1,8.93,466254,"['adventure', ' drama', ' supernatural']"
23273,Shigatsu wa Kimi no Uso,"Drama, Music, Romance, School, Shounen",TV,22,8.92,416397,"['drama', ' music', ' romance', ' school', ' shounen']"
24701,Mushishi Zoku Shou 2nd Season,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,10,8.88,75894,"['adventure', ' fantasy', ' historical', ' mystery', ' seinen', ' slice of life', ' supernatural']"
12355,Ookami Kodomo no Ame to Yuki,"Fantasy, Slice of Life",Movie,1,8.84,226193,"['fantasy', ' slice of life']"
1575,Code Geass: Hangyaku no Lelouch,"Action, Mecha, Military, School, Sci-Fi, Super Power",TV,25,8.83,715151,"['action', ' mecha', ' military', ' school', ' sci-fi', ' super power']"
263,Hajime no Ippo,"Comedy, Drama, Shounen, Sports",TV,75,8.83,157670,"['comedy', ' drama', ' shounen', ' sports']"
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,"Action, Drama, Historical, Martial Arts, Romance, Samurai",OVA,4,8.83,129307,"['action', ' drama', ' historical', ' martial arts', ' romance', ' samurai']"
1,Cowboy Bebop,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",TV,26,8.82,486824,"['action', ' adventure', ' comedy', ' drama', ' sci-fi', ' space']"
30276,One Punch Man,"Action, Comedy, Parody, Sci-Fi, Seinen, Super Power, Supernatural",TV,12,8.82,552458,"['action', ' comedy', ' parody', ' sci-fi', ' seinen', ' super power', ' supernatural']"
164,Mononoke Hime,"Action, Adventure, Fantasy",Movie,1,8.81,339556,"['action', ' adventure', ' fantasy']"
7311,Suzumiya Haruhi no Shoushitsu,"Comedy, Mystery, Romance, School, Sci-Fi, Supernatural",Movie,1,8.81,240297,"['comedy', ' mystery', ' romance', ' school', ' sci-fi', ' supernatural']"
17074,Monogatari Series: Second Season,"Comedy, Mystery, Romance, Supernatural, Vampire",TV,26,8.8,205959,"['comedy', ' mystery', ' romance', ' supernatural', ' vampire']"
21939,Mushishi Zoku Shou,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,10,8.8,101351,"['adventure', ' fantasy', ' historical', ' mystery', ' seinen', ' slice of life', ' supernatural']"
457,Mushishi,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,26,8.78,300030,"['adventure', ' fantasy', ' historical', ' mystery', ' seinen', ' slice of life', ' supernatural']"
2001,Tengen Toppa Gurren Lagann,"Action, Adventure, Comedy, Mecha, Sci-Fi",TV,27,8.78,562962,"['action', ' adventure', ' comedy', ' mecha', ' sci-fi']"
245,Great Teacher Onizuka,"Comedy, Drama, School, Shounen, Slice of Life",TV,43,8.77,268487,"['comedy', ' drama', ' school', ' shounen', ' slice of life']"
32983,Natsume Yuujinchou Go,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.76,38865,"['drama', ' fantasy', ' shoujo', ' slice of life', ' supernatural']"
5258,Hajime no Ippo: New Challenger,"Comedy, Drama, Shounen, Sports",TV,26,8.75,88995,"['comedy', ' drama', ' shounen', ' sports']"
28957,Mushishi Zoku Shou: Suzu no Shizuku,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Movie,1,8.75,32266,"['adventure', ' fantasy', ' historical', ' mystery', ' seinen', ' slice of life', ' supernatural']"
11665,Natsume Yuujinchou Shi,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.75,98431,"['drama', ' fantasy', ' shoujo', ' slice of life', ' supernatural']"
431,Howl no Ugoku Shiro,"Adventure, Drama, Fantasy, Romance",Movie,1,8.74,333186,"['adventure', ' drama', ' fantasy', ' romance']"
11741,Fate/Zero 2nd Season,"Action, Fantasy, Supernatural, Thriller",TV,12,8.73,340973,"['action', ' fantasy', ' supernatural', ' thriller']"
31757,Kizumonogatari II: Nekketsu-hen,"Action, Mystery, Supernatural, Vampire",Movie,1,8.73,34347,"['action', ' mystery', ' supernatural', ' vampire']"
19,Monster,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",TV,74,8.72,247562,"['drama', ' horror', ' mystery', ' police', ' psychological', ' seinen', ' thriller']"
12365,Bakuman. 3rd Season,"Comedy, Drama, Romance, Shounen",TV,25,8.71,133620,"['comedy', ' drama', ' romance', ' shounen']"
1535,Death Note,"Mystery, Police, Psychological, Supernatural, Thriller",TV,37,8.71,1013917,"['mystery', ' police', ' psychological', ' supernatural', ' thriller']"
32366,Gintama°: Aizome Kaori-hen,"Comedy, Parody",OVA,2,8.69,16947,"['comedy', ' parody']"
30654,Ansatsu Kyoushitsu (TV) 2nd Season,"Action, Comedy, School, Shounen",TV,25,8.68,176475,"['action', ' comedy', ' school', ' shounen']"
20583,Haikyuu!!,"Comedy, Drama, School, Shounen, Sports",TV,25,8.68,284498,"['comedy', ' drama', ' school', ' shounen', ' sports']"
19647,Hajime no Ippo: Rising,"Comedy, Drama, Shounen, Sports",TV,25,8.68,66756,"['comedy', ' drama', ' shounen', ' sports']"
4282,Kara no Kyoukai 5: Mujun Rasen,"Action, Drama, Mystery, Romance, Supernatural, Thriller",Movie,1,8.68,111074,"['action', ' drama', ' mystery', ' romance', ' supernatural', ' thriller']"
10379,Natsume Yuujinchou San,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.67,102322,"['drama', ' fantasy', ' shoujo', ' slice of life', ' supernatural']"
22135,Ping Pong The Animation,"Psychological, Seinen, Sports",TV,11,8.67,97187,"['psychological', ' seinen', ' sports']"
21329,Mushishi Special: Hihamukage,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Special,1,8.66,49036,"['adventure', ' fantasy', ' historical', ' mystery', ' seinen', ' slice of life', ' supernatural']"
31043,Boku dake ga Inai Machi,"Mystery, Psychological, Seinen, Supernatural",TV,12,8.65,402381,"['mystery', ' psychological', ' seinen', ' supernatural']"
7785,Yojouhan Shinwa Taikei,"Mystery, Psychological, Romance",TV,11,8.65,122531,"['mystery', ' psychological', ' romance']"
3297,Aria The Origination,"Fantasy, Sci-Fi, Shounen, Slice of Life",TV,13,8.64,56162,"['fantasy', ' sci-fi', ' shounen', ' slice of life']"
30709,Kamisama Hajimemashita: Kako-hen,"Comedy, Demons, Fantasy, Shoujo, Supernatural",OVA,4,8.64,33422,"['comedy', ' demons', ' fantasy', ' shoujo', ' supernatural']"
6114,Rainbow: Nisha Rokubou no Shichinin,"Drama, Historical, Seinen, Thriller",TV,26,8.64,139474,"['drama', ' historical', ' seinen', ' thriller']"
31240,Re:Zero kara Hajimeru Isekai Seikatsu,"Drama, Fantasy, Psychological, Thriller",TV,25,8.64,355839,"['drama', ' fantasy', ' psychological', ' thriller']"
4565,Tengen Toppa Gurren Lagann Movie: Lagann-hen,"Action, Mecha, Sci-Fi, Space, Super Power",Movie,1,8.64,82253,"['action', ' mecha', ' sci-fi', ' space', ' super power']"
5300,Zoku Natsume Yuujinchou,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.64,114173,"['drama', ' fantasy', ' shoujo', ' slice of life', ' supernatural']"
9989,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,"Drama, Slice of Life, Supernatural",TV,11,8.62,463835,"['drama', ' slice of life', ' supernatural']"
24415,Kuroko no Basket 3rd Season,"Comedy, School, Shounen, Sports",TV,25,8.62,184525,"['comedy', ' school', ' shounen', ' sports']"
11577,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,"Sci-Fi, Thriller",Movie,1,8.61,192424,"['sci-fi', ' thriller']"
10408,Hotarubi no Mori e,"Drama, Romance, Shoujo, Supernatural",Movie,1,8.61,197439,"['drama', ' romance', ' shoujo', ' supernatural']"
28171,Shokugeki no Souma,"Ecchi, School, Shounen",TV,24,8.61,348951,"['ecchi', ' school', ' shounen']"
32995,Yuri!!! on Ice,"Comedy, Sports",TV,12,8.61,103178,"['comedy', ' sports']"
21899,Gintama: Yorinuki Gintama-san on Theater 2D,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,2,8.6,11104,"['action', ' comedy', ' historical', ' parody', ' samurai', ' sci-fi', ' shounen']"
26055,JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season,"Action, Adventure, Drama, Shounen, Supernatural",TV,24,8.6,93657,"['action', ' adventure', ' drama', ' shounen', ' supernatural']"
7472,Gintama Movie: Shinyaku Benizakura-hen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,1,8.59,51185,"['action', ' comedy', ' historical', ' parody', ' samurai', ' sci-fi', ' shounen']"
777,Hellsing Ultimate,"Action, Horror, Military, Seinen, Supernatural, Vampire",OVA,10,8.59,297454,"['action', ' horror', ' military', ' seinen', ' supernatural', ' vampire']"
22535,Kiseijuu: Sei no Kakuritsu,"Action, Drama, Horror, Psychological, Sci-Fi, Seinen",TV,24,8.59,425457,"['action', ' drama', ' horror', ' psychological', ' sci-fi', ' seinen']"
28735,Shouwa Genroku Rakugo Shinjuu,"Drama, Historical, Josei",TV,13,8.59,71295,"['drama', ' historical', ' josei']"
12431,Uchuu Kyoudai,"Comedy, Sci-Fi, Seinen, Slice of Life, Space",TV,99,8.59,72958,"['comedy', ' sci-fi', ' seinen', ' slice of life', ' space']"
28805,Bakemono no Ko,"Adventure, Supernatural",Movie,1,8.58,80825,"['adventure', ' supernatural']"
578,Hotaru no Haka,"Drama, Historical",Movie,1,8.58,174878,"['drama', ' historical']"
16894,Kuroko no Basket 2nd Season,"Comedy, School, Shounen, Sports",TV,25,8.58,243325,"['comedy', ' school', ' shounen', ' sports']"
5028,Major S5,"Comedy, Drama, Romance, Sports",TV,25,8.58,28653,"['comedy', ' drama', ' romance', ' sports']"
21,One Piece,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",TV,Unknown,8.58,504862,"['action', ' adventure', ' comedy', ' drama', ' fantasy', ' shounen', ' super power']"
801,Ghost in the Shell: Stand Alone Complex 2nd GIG,"Action, Mecha, Military, Mystery, Police, Sci-Fi, Seinen",TV,26,8.57,113993,"['action', ' mecha', ' military', ' mystery', ' police', ' sci-fi', ' seinen']"
31933,JoJo no Kimyou na Bouken: Diamond wa Kudakenai,"Action, Adventure, Comedy, Drama, Shounen, Supernatural",TV,39,8.57,74074,"['action', ' adventure', ' comedy', ' drama', ' shounen', ' supernatural']"
5205,Kara no Kyoukai 7: Satsujin Kousatsu (Kou),"Action, Mystery, Romance, Supernatural, Thriller",Movie,1,8.57,95658,"['action', ' mystery', ' romance', ' supernatural', ' thriller']"
17389,Kingdom 2nd Season,"Action, Historical, Military, Seinen",TV,39,8.57,31234,"['action', ' historical', ' military', ' seinen']"
170,Slam Dunk,"Comedy, Drama, School, Shounen, Sports",TV,101,8.56,82570,"['comedy', ' drama', ' school', ' shounen', ' sports']"
10162,Usagi Drop,"Josei, Slice of Life",TV,11,8.56,194855,"['josei', ' slice of life']"
18617,Girls und Panzer der Film,"Military, School",Movie,1,8.55,25641,"['military', ' school']"
32182,Mob Psycho 100,"Action, Comedy, Slice of Life, Supernatural",TV,12,8.55,193716,"['action', ' comedy', ' slice of life', ' supernatural']"
877,Nana,"Comedy, Drama, Music, Romance, Shoujo, Slice of Life",TV,47,8.55,197256,"['comedy', ' drama', ' music', ' romance', ' shoujo', ' slice of life']"
2251,Baccano!,"Action, Comedy, Historical, Mystery, Seinen, Supernatural",TV,13,8.54,363215,"['action', ' comedy', ' historical', ' mystery', ' seinen', ' supernatural']"
24687,Mushishi Zoku Shou: Odoro no Michi,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Special,1,8.54,34011,"['adventure', ' fantasy', ' historical', ' mystery', ' seinen', ' slice of life', ' supernatural']"
16498,Shingeki no Kyojin,"Action, Drama, Fantasy, Shounen, Super Power",TV,25,8.54,896229,"['action', ' drama', ' fantasy', ' shounen', ' super power']"
10030,Bakuman. 2nd Season,"Comedy, Drama, Romance, Shounen",TV,25,8.53,151561,"['comedy', ' drama', ' romance', ' shounen']"
5941,Cross Game,"Comedy, Drama, Romance, School, Sports",TV,50,8.53,53108,"['comedy', ' drama', ' romance', ' school', ' sports']"
30346,Doukyuusei (Movie),"Romance, School, Shounen Ai, Slice of Life",Movie,1,8.53,28864,"['romance', ' school', ' shounen ai', ' slice of life']"
3784,Evangelion: 2.0 You Can (Not) Advance,"Action, Mecha, Sci-Fi",Movie,1,8.53,182224,"['action', ' mecha', ' sci-fi']"
13125,Shinsekai yori,"Drama, Horror, Mystery, Sci-Fi, Supernatural",TV,25,8.53,288376,"['drama', ' horror', ' mystery', ' sci-fi', ' supernatural']"
12029,Uchuu Senkan Yamato 2199,"Action, Drama, Military, Sci-Fi, Space",OVA,26,8.53,44223,"['action', ' drama', ' military', ' sci-fi', ' space']"
14397,Chihayafuru 2,"Drama, Game, Josei, Slice of Life, Sports",TV,25,8.52,86074,"['drama', ' game', ' josei', ' slice of life', ' sports']"
10087,Fate/Zero,"Action, Fantasy, Supernatural",TV,13,8.51,453630,"['action', ' fantasy', ' supernatural']"
14719,JoJo no Kimyou na Bouken (TV),"Action, Adventure, Shounen, Supernatural, Vampire",TV,26,8.51,190197,"['action', ' adventure', ' shounen', ' supernatural', ' vampire']"
9756,Mahou Shoujo Madoka★Magica,"Drama, Magic, Psychological, Thriller",TV,12,8.51,462974,"['drama', ' magic', ' psychological', ' thriller']"
10165,Nichijou,"Comedy, School, Slice of Life",TV,26,8.52,254436,"['comedy', ' school', ' slice of life']"
13601,Psycho-Pass,"Action, Police, Psychological, Sci-Fi",TV,22,8.5,509109,"['action', ' police', ' psychological', ' sci-fi']"
22789,Barakamon,"Comedy, Slice of Life",TV,12,8.5,225927,"['comedy', ' slice of life']"
30230,Diamond no Ace: Second Season,"Comedy, School, Shounen, Sports",TV,51,8.5,38531,"['comedy', ' school', ' shounen', ' sports']"
18115,Magi: The Kingdom of Magic,"Action, Adventure, Fantasy, Magic, Shounen",TV,25,8.5,245026,"['action', ' adventure', ' fantasy', ' magic', ' shounen']"
11981,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,"Drama, Magic, Psychological, Thriller",Movie,1,8.5,135735,"['drama', ' magic', ' psychological', ' thriller']"
11917,Major: World Series,"Comedy, Drama, Sports",OVA,2,8.5,13405,"['comedy', ' drama', ' sports']"
205,Samurai Champloo,"Action, Adventure, Comedy, Historical, Samurai, Shounen",TV,26,8.5,390076,"['action', ' adventure', ' comedy', ' historical', ' samurai', ' shounen']"
32282,Shokugeki no Souma: Ni no Sara,"Ecchi, School, Shounen",TV,13,8.5,185015,"['ecchi', ' school', ' shounen']"
6594,Katanagatari,"Action, Adventure, Historical, Martial Arts, Romance",TV,12,8.49,207241,"['action', ' adventure', ' historical', ' martial arts', ' romance']"
11979,Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,"Drama, Magic, Psychological, Thriller",Movie,1,8.49,85361,"['drama', ' magic', ' psychological', ' thriller']"
7655,Major S6,"Comedy, Drama, Sports",TV,25,8.49,24788,"['comedy', ' drama', ' sports']"
2246,Mononoke,"Demons, Fantasy, Historical, Horror, Mystery, Seinen, Supernatural",TV,12,8.49,88850,"['demons', ' fantasy', ' historical', ' horror', ' mystery', ' seinen', ' supernatural']"
25835,Shirobako,"Comedy, Drama",TV,24,8.49,146895,"['comedy', ' drama']"
2921,Ashita no Joe 2,"Drama, Sports",TV,47,8.48,6259,"['drama', ' sports']"
136,Hunter x Hunter,"Action, Adventure, Shounen, Super Power",TV,62,8.48,166255,"['action', ' adventure', ' shounen', ' super power']"
30503,Noragami Aragoto,"Action, Adventure, Shounen, Supernatural",TV,13,8.48,299434,"['action', ' adventure', ' shounen', ' supernatural']"
12531,Sakamichi no Apollon,"Drama, Josei, Music, Romance, School",TV,12,8.48,146592,"['drama', ' josei', ' music', ' romance', ' school']"
523,Tonari no Totoro,"Adventure, Comedy, Supernatural",Movie,1,8.48,271484,"['adventure', ' comedy', ' supernatural']"
467,Ghost in the Shell: Stand Alone Complex,"Action, Mecha, Military, Police, Sci-Fi, Seinen",TV,26,8.47,194491,"['action', ' mecha', ' military', ' police', ' sci-fi', ' seinen']"
572,Kaze no Tani no Nausicaä,"Adventure, Fantasy",Movie,1,8.47,143273,"['adventure', ' fantasy']"
19815,No Game No Life,"Adventure, Comedy, Ecchi, Fantasy, Game, Supernatural",TV,12,8.47,602291,"['adventure', ' comedy', ' ecchi', ' fantasy', ' game', ' supernatural']"
2559,Romeo no Aoi Sora,"Adventure, Drama, Historical, Slice of Life",TV,33,8.47,15074,"['adventure', ' drama', ' historical', ' slice of life']"
392,Yuu☆Yuu☆Hakusho,"Action, Comedy, Demons, Fantasy, Martial Arts, School, Shounen",TV,112,8.47,195017,"['action', ' comedy', ' demons', ' fantasy', ' martial arts', ' school', ' shounen']"
486,Kino no Tabi: The Beautiful World,"Action, Adventure, Slice of Life",TV,13,8.46,102822,"['action', ' adventure', ' slice of life']"
11771,Kuroko no Basket,"Comedy, School, Shounen, Sports",TV,25,8.46,338315,"['comedy', ' school', ' shounen', ' sports']"
1698,Nodame Cantabile,"Comedy, Drama, Josei, Music, Romance, Slice of Life",TV,23,8.46,157025,"['comedy', ' drama', ' josei', ' music', ' romance', ' slice of life']"
5341,Ookami to Koushinryou II,"Adventure, Fantasy, Historical, Romance",TV,12,8.46,210491,"['adventure', ' fantasy', ' historical', ' romance']"
25781,Shingeki no Kyojin: Kuinaki Sentaku,"Action, Fantasy, Shoujo, Supernatural",OVA,2,8.45,92543,"['action', ' fantasy', ' shoujo', ' supernatural']"
10863,Steins;Gate: Oukoubakko no Poriomania,"Sci-Fi, Thriller",Special,1,8.46,159548,"['sci-fi', ' thriller']"
28701,Fate/stay night: Unlimited Blade Works 2nd Season,"Action, Fantasy, Magic, Shounen, Supernatural",TV,13,8.45,205987,"['action', ' fantasy', ' magic', ' shounen', ' supernatural']"
5420,Kemono no Souja Erin,"Drama, Fantasy",TV,50,8.45,36751,"['drama', ' fantasy']"
9260,Kizumonogatari I: Tekketsu-hen,"Mystery, Supernatural, Vampire",Movie,1,8.45,99579,"['mystery', ' supernatural', ' vampire']"
32,Neon Genesis Evangelion: The End of Evangelion,"Dementia, Drama, Mecha, Psychological, Sci-Fi",Movie,1,8.45,215630,"['dementia', ' drama', ' mecha', ' psychological', ' sci-fi']"
4224,Toradora!,"Comedy, Romance, School, Slice of Life",TV,25,8.45,633817,"['comedy', ' romance', ' school', ' slice of life']"
2236,Toki wo Kakeru Shoujo,"Adventure, Drama, Romance, Sci-Fi",Movie,1,8.44,289206,"['adventure', ' drama', ' romance', ' sci-fi']"
2685,Tsubasa: Tokyo Revelations,"Action, Adventure, Drama, Fantasy, Romance, Shounen",OVA,3,8.44,57963,"['action', ' adventure', ' drama', ' fantasy', ' romance', ' shounen']"
31181,Owarimonogatari,"Comedy, Mystery, Supernatural",TV,12,8.43,107855,"['comedy', ' mystery', ' supernatural']"
45,Rurouni Kenshin: Meiji Kenkaku Romantan,"Action, Adventure, Comedy, Historical, Romance, Samurai",TV,94,8.43,218928,"['action', ' adventure', ' comedy', ' historical', ' romance', ' samurai']"
2418,Stranger: Mukou Hadan,"Action, Adventure, Historical, Samurai",Movie,1,8.43,125503,"['action', ' adventure', ' historical', ' samurai']"
1365,Detective Conan Movie 06: The Phantom of Baker Street,"Adventure, Mystery, Police, Shounen",Movie,1,8.42,28462,"['adventure', ' mystery', ' police', ' shounen']"
22297,Fate/stay night: Unlimited Blade Works,"Action, Fantasy, Magic, Shounen, Supernatural",TV,12,8.42,267484,"['action', ' fantasy', ' magic', ' shounen', ' supernatural']"
627,Major S1,"Comedy, Drama, Shounen, Sports",TV,26,8.42,41061,"['comedy', ' drama', ' shounen', ' sports']"
10937,Mobile Suit Gundam: The Origin,"Action, Mecha, Military, Sci-Fi, Shounen, Space",OVA,6,8.42,15420,"['action', ' mecha', ' military', ' sci-fi', ' shounen', ' space']"
23755,Nanatsu no Taizai,"Action, Adventure, Ecchi, Fantasy, Shounen, Supernatural",TV,24,8.42,331627,"['action', ' adventure', ' ecchi', ' fantasy', ' shounen', ' supernatural']"
4081,Natsume Yuujinchou,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.42,210736,"['drama', ' fantasy', ' shoujo', ' slice of life', ' supernatural']"
4155,One Piece Film: Strong World,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",Movie,1,8.42,85020,"['action', ' adventure', ' comedy', ' drama', ' fantasy', ' shounen']"
1889,Higurashi no Naku Koro ni Kai,"Mystery, Psychological, Supernatural, Thriller",TV,24,8.41,218101,"['mystery', ' psychological', ' supernatural', ' thriller']"
137,Hunter x Hunter OVA,"Action, Adventure, Shounen, Super Power",OVA,8,8.41,53168,"['action', ' adventure', ' shounen', ' super power']"
139,Hunter x Hunter: Greed Island Final,"Action, Adventure, Shounen, Super Power",OVA,14,8.41,55787,"['action', ' adventure', ' shounen', ' super power']"
23317,Kuroshitsuji: Book of Murder,"Comedy, Demons, Fantasy, Historical, Mystery, Shounen, Supernatural",OVA,2,8.41,67261,"['comedy', ' demons', ' fantasy', ' historical', ' mystery', ' shounen', ' supernatural']"
558,Major S2,"Comedy, Drama, Shounen, Sports",TV,26,8.41,30689,"['comedy', ' drama', ' shounen', ' sports']"
5040,One Outs,"Psychological, Seinen, Sports",TV,25,8.41,83056,"['psychological', ' seinen', ' sports']"
57,Beck,"Comedy, Drama, Music, Shounen, Slice of Life",TV,26,8.4,148328,"['comedy', ' drama', ' music', ' shounen', ' slice of life']"
33,Berserk,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",TV,25,8.4,226430,"['action', ' adventure', ' demons', ' drama', ' fantasy', ' horror', ' military', ' romance', ' seinen', ' supernatural']"
5,Cowboy Bebop: Tengoku no Tobira,"Action, Drama, Mystery, Sci-Fi, Space",Movie,1,8.4,137636,"['action', ' drama', ' mystery', ' sci-fi', ' space']"
1842,Major S3,"Drama, Shounen, Sports",TV,26,8.4,29528,"['drama', ' shounen', ' sports']"
6336,Mobile Suit Gundam Unicorn,"Action, Drama, Mecha, Military, Sci-Fi, Space",OVA,7,8.4,42076,"['action', ' drama', ' mecha', ' military', ' sci-fi', ' space']"
20651,Natsume Yuujinchou: Itsuka Yuki no Hi ni,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",OVA,1,8.4,28302,"['drama', ' fantasy', ' shoujo', ' slice of life', ' supernatural']"
1210,NHK ni Youkoso!,"Comedy, Drama, Psychological, Romance",TV,24,8.4,291228,"['comedy', ' drama', ' psychological', ' romance']"
338,Rose of Versailles,"Adventure, Drama, Historical, Romance, Shoujo",TV,40,8.4,32188,"['adventure', ' drama', ' historical', ' romance', ' shoujo']"
13759,Sakurasou no Pet na Kanojo,"Comedy, Drama, Romance, School, Slice of Life",TV,24,8.4,380375,"['comedy', ' drama', ' romance', ' school', ' slice of life']"
6547,Angel Beats!,"Action, Comedy, Drama, School, Supernatural",TV,13,8.39,717796,"['action', ' comedy', ' drama', ' school', ' supernatural']"
5081,Bakemonogatari,"Mystery, Romance, Supernatural, Vampire",TV,15,8.39,482268,"['mystery', ' romance', ' supernatural', ' vampire']"
32867,Bungou Stray Dogs 2nd Season,"Mystery, Seinen, Supernatural",TV,12,8.39,83641,"['mystery', ' seinen', ' supernatural']"
264,Hajime no Ippo: Champion Road,"Comedy, Shounen, Sports",Special,1,8.39,47840,"['comedy', ' shounen', ' sports']"
12859,One Piece Film: Z,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",Movie,1,8.39,76051,"['action', ' adventure', ' comedy', ' drama', ' fantasy', ' shounen']"
853,Ouran Koukou Host Club,"Comedy, Harem, Romance, School, Shoujo",TV,26,8.39,422271,"['comedy', ' harem', ' romance', ' school', ' shoujo']"
5460,Detective Conan Movie 13: The Raven Chaser,"Action, Mystery, Police, Shounen",Movie,1,8.38,21798,"['action', ' mystery', ' police', ' shounen']"
6746,Durarara!!,"Action, Mystery, Supernatural",TV,24,8.38,556431,"['action', ' mystery', ' supernatural']"
5690,Nodame Cantabile Finale,"Comedy, Josei, Music, Romance",TV,11,8.38,67697,"['comedy', ' josei', ' music', ' romance']"
329,Planetes,"Drama, Romance, Sci-Fi, Seinen, Space",TV,26,8.38,105044,"['drama', ' romance', ' sci-fi', ' seinen', ' space']"
34240,Shelter,"Music, Sci-Fi",Music,1,8.38,71136,"['music', ' sci-fi']"
513,Tenkuu no Shiro Laputa,"Adventure, Fantasy, Romance, Sci-Fi",Movie,1,8.38,151061,"['adventure', ' fantasy', ' romance', ' sci-fi']"
6945,Gintama: Shiroyasha Koutan,"Action, Comedy, Historical, Parody, Sci-Fi",Special,1,8.37,27213,"['action', ' comedy', ' historical', ' parody', ' sci-fi']"
1142,Hachimitsu to Clover II,"Drama, Josei, Romance",TV,12,8.37,61493,"['drama', ' josei', ' romance']"
